title,url
Festskrift for tre jubilarer,https://www.kfplc.dk/image/catalog/udgivelser/Festskrift_2018.pdf
Life cycle assessment of grocery carrier bags,https://www2.mst.dk/Udgiv/publications/2018/02/978-87-93614-73-4.pdf
Fra startup-nation til scaleup-nation,https://www.mm.dk/pdffiles/Scaleup_Rapport-MM.pdf
Datafortrolighedspolitik,http://www.dst.dk/ext/formid/datafortrolighed--pdf
National strategi for cyber- og informationssikkerhed,https://www.fm.dk/~/media/publikationer/imported/2018/strategi-for-cyber-og-informationssikkerhed/national-strategi-for-cyber_-og-informationssikkerhed_weba.ashx
Behandlingssteder uden særlig specialetilknytning,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/2935E32973A5405BBC40B7A0301FE365.ashx
Speciallæger i otologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/A6683AF424C4401C8E051CE3FBAAC860.ashx
Børnepsykiatriske behandlingssteder,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/C41A2D7BF0B24F45AC4FD46354B2F91F.ashx
Redegørelse/perspektiv- og handlingsplan 2018,https://www.regeringen.dk/media/4896/redegrelse-perspektiv-og-handlingsplan-for-ligestilling-2018.pdf
Speciallæger i kirurgiske specialer,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/3EE35E425F084B56A15F59B39FE9ED91.ashx
Smertebehandling og anæstesiologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/881C1B74C3B94505A17853F71F0F247A.ashx
Speciallæger i gynækologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/513AF8BA7ED9470C8357B7946EDF1A59.ashx
Speciallæger i ortopædkirurgi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/B084EC089A6D4090AA03F6219F27ED34.ashx
Speciallæger i reumatologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/1CB1A85BB91F45259A023471CCFE4AD0.ashx
Speciallæger i pædiatri,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/561F5CBEE524487AB4640587EFB936B4.ashx
Når udsatte borgere møder velfærdssystemet,https://pure.sfi.dk/ws/files/2136711/N_r_udsatte_borgere_m_der_velf_rdssystemet_VIVE.pdf
Højere kvalitet gennem samling af komplekse og specialiserede kliniske funktioner,https://www.kora.dk/media/8643848/11247_hoejere-kvalitet-gennem-samling-af-komplekse-og-specialiserede-kliniske-funktioner-a-sikret.pdf
Lovende praksis på det specialiserede socialområde,https://pure.sfi.dk/ws/files/626640/K_K_Lovende_Praksis.pdf
Speciallæger i dermatologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/E9F9EC6ACE054C83B4A5F43298B84579.ashx
Radiologiske behandlingssteder,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/4181E44AD7F44418AD2884A5AC0E104F.ashx
Speciallæger i intern medicinske specialer,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/9AD2CE7D7A4543D8B521D234072A29E7.ashx
Vaccinationsklinikker,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/484C6412010D4787952E80AC2332699E.ashx
Speciallæger i neurologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/4D4538FB5FDD47098B1EAC343CDFEF54.ashx
Waterscapes of value,https://adk.elsevierpure.com/ws/portalfiles/portal/62156144/Katrina_Wiberg_Thesis_2018.Aug_LQ.pdf
Speciallæger i oftalmologi,https://stps.dk/da/sundhedsprofessionelle-og-myndigheder/det-risikobaserede-tilsyn/tilsynsrapporter/private-behandlingssteder-og-klinikker/~/media/F8826220997E45EE83899263066A584F.ashx
